,idf_weights
aamir,6.959715848793402
madge,6.959715848793402
madhya,6.959715848793402
madrassa,6.959715848793402
mads,6.959715848793402
mae,6.959715848793402
maestro,6.959715848793402
maestros,6.959715848793402
maffia,6.959715848793402
mafia,6.959715848793402
mag,6.959715848793402
maga,6.959715848793402
magadheera,6.959715848793402
magats,6.959715848793402
magdalene,6.959715848793402
maggs,6.959715848793402
maghera,6.959715848793402
magisterial,6.959715848793402
magnetic,6.959715848793402
magnificent,6.959715848793402
magnificently,6.959715848793402
madhuri,6.959715848793402
madden,6.959715848793402
loach,6.959715848793402
madama,6.959715848793402
mabry,6.959715848793402
macaulay,6.959715848793402
macclesfield,6.959715848793402
macedonia,6.959715848793402
macedonians,6.959715848793402
maceration,6.959715848793402
macfarlane,6.959715848793402
machado,6.959715848793402
machinery,6.959715848793402
machismo,6.959715848793402
macintyre,6.959715848793402
mackay,6.959715848793402
mackerras,6.959715848793402
mackie,6.959715848793402
macleod,6.959715848793402
maclochlainn,6.959715848793402
macmillan,6.959715848793402
macneill,6.959715848793402
macro,6.959715848793402
magnolia,6.959715848793402
magnum,6.959715848793402
mahler,6.959715848793402
mahnmal,6.959715848793402
malawian,6.959715848793402
malayalam,6.959715848793402
malchevska,6.959715848793402
malden,6.959715848793402
malek,6.959715848793402
males,6.959715848793402
malevich,6.959715848793402
malfoy,6.959715848793402
malhotra,6.959715848793402
malibu,6.959715848793402
malicious,6.959715848793402
malignant,6.959715848793402
malika,6.959715848793402
malin,6.959715848793402
malini,6.959715848793402
mallet,6.959715848793402
malorie,6.959715848793402
mam,6.959715848793402
mama,6.959715848793402
malawi,6.959715848793402
malappuram,6.959715848793402
malachy,6.959715848793402
maimuna,6.959715848793402
mahvish,6.959715848793402
mai,6.959715848793402
maid,6.959715848793402
maidan,6.959715848793402
maiden,6.959715848793402
maidenhead,6.959715848793402
maidservant,6.959715848793402
maik,6.959715848793402
maindee,6.959715848793402
mala,6.959715848793402
maisey,6.959715848793402
maisie,6.959715848793402
makar,6.959715848793402
makeovers,6.959715848793402
makeshift,6.959715848793402
makhado,6.959715848793402
makov,6.959715848793402
mal,6.959715848793402
lân,6.959715848793402
lá,6.959715848793402
lytton,6.959715848793402
louisa,6.959715848793402
longlists,6.959715848793402
longport,6.959715848793402
longue,6.959715848793402
loona,6.959715848793402
loos,6.959715848793402
loosefest,6.959715848793402
looser,6.959715848793402
looters,6.959715848793402
lorak,6.959715848793402
lorax,6.959715848793402
loreen,6.959715848793402
loren,6.959715848793402
lorn,6.959715848793402
lorna,6.959715848793402
loser,6.959715848793402
lotinga,6.959715848793402
lottie,6.959715848793402
loudest,6.959715848793402
loudmouth,6.959715848793402
longley,6.959715848793402
longford,6.959715848793402
longclaw,6.959715848793402
lode,6.959715848793402
loc,6.959715848793402
loca,6.959715848793402
localise,6.959715848793402
locality,6.959715848793402
loch,6.959715848793402
locker,6.959715848793402
lockhart,6.959715848793402
lockwood,6.959715848793402
logical,6.959715848793402
londoners,6.959715848793402
logistical,6.959715848793402
logistically,6.959715848793402
lois,6.959715848793402
lok,6.959715848793402
lolita,6.959715848793402
lollapalooza,6.959715848793402
lollipop,6.959715848793402
londoner,6.959715848793402
lough,6.959715848793402
loveable,6.959715848793402
lyse,6.959715848793402
lovejoy,6.959715848793402
lungs,6.959715848793402
lupus,6.959715848793402
lurid,6.959715848793402
lush,6.959715848793402
lusitania,6.959715848793402
luv,6.959715848793402
lycett,6.959715848793402
lydia,6.959715848793402
lydiate,6.959715848793402
lyft,6.959715848793402
lyke,6.959715848793402
lymphocytic,6.959715848793402
lynam,6.959715848793402
lynda,6.959715848793402
lynsey,6.959715848793402
lyon,6.959715848793402
lyons,6.959715848793402
lyor,6.959715848793402
lyricism,6.959715848793402
lundberg,6.959715848793402
luncheon,6.959715848793402
lunatic,6.959715848793402
ls,6.959715848793402
loveliest,6.959715848793402
loveridge,6.959715848793402
lovin,6.959715848793402
lovingly,6.959715848793402
lowles,6.959715848793402
lowrey,6.959715848793402
loyalty,6.959715848793402
lps,6.959715848793402
lucian,6.959715848793402
lunacy,6.959715848793402
lucid,6.959715848793402
lucinda,6.959715848793402
lucrative,6.959715848793402
ludlam,6.959715848793402
ludlow,6.959715848793402
lukowski,6.959715848793402
lullabies,6.959715848793402
lumber,6.959715848793402
mamie,6.959715848793402
mammoth,6.959715848793402
mams,6.959715848793402
mcarthur,6.959715848793402
mauro,6.959715848793402
maus,6.959715848793402
mavis,6.959715848793402
mawle,6.959715848793402
maxi,6.959715848793402
maximalist,6.959715848793402
maximize,6.959715848793402
maxine,6.959715848793402
maya,6.959715848793402
maycock,6.959715848793402
mayer,6.959715848793402
mayers,6.959715848793402
mayfair,6.959715848793402
mayfest,6.959715848793402
mayhew,6.959715848793402
maz,6.959715848793402
mazda,6.959715848793402
mazdas,6.959715848793402
mbau,6.959715848793402
maurice,6.959715848793402
maud,6.959715848793402
matz,6.959715848793402
maternity,6.959715848793402
masturbate,6.959715848793402
masuku,6.959715848793402
matata,6.959715848793402
matatus,6.959715848793402
matchday,6.959715848793402
matchstick,6.959715848793402
mateen,6.959715848793402
mater,6.959715848793402
mathematical,6.959715848793402
matthews,6.959715848793402
mathematique,6.959715848793402
mathers,6.959715848793402
matheson,6.959715848793402
mathias,6.959715848793402
matinee,6.959715848793402
matriarch,6.959715848793402
matrimonial,6.959715848793402
matte,6.959715848793402
mcadams,6.959715848793402
mccann,6.959715848793402
masterstroke,6.959715848793402
mcclane,6.959715848793402
mckenzie,6.959715848793402
mckeon,6.959715848793402
mcmahon,6.959715848793402
mcmaster,6.959715848793402
mcquarrie,6.959715848793402
mcqueen,6.959715848793402
mcvey,6.959715848793402
mcvitie,6.959715848793402
md,6.959715848793402
mde,6.959715848793402
mdlongwa,6.959715848793402
mea,6.959715848793402
mead,6.959715848793402
meadows,6.959715848793402
meanwood,6.959715848793402
meatballs,6.959715848793402
meats,6.959715848793402
meaty,6.959715848793402
mecca,6.959715848793402
mckelvey,6.959715848793402
mckellen,6.959715848793402
mckays,6.959715848793402
mcdonagh,6.959715848793402
mccloud,6.959715848793402
mccluskey,6.959715848793402
mcconnell,6.959715848793402
mccririck,6.959715848793402
mccrory,6.959715848793402
mccudden,6.959715848793402
mcdermott,6.959715848793402
mcdevitt,6.959715848793402
mcdonnell,6.959715848793402
mcivor,6.959715848793402
mcelderry,6.959715848793402
mcentire,6.959715848793402
mcfadden,6.959715848793402
mcgillis,6.959715848793402
mcgowan,6.959715848793402
mcgrady,6.959715848793402
mcgrath,6.959715848793402
mcing,6.959715848793402
masts,6.959715848793402
masterpieces,6.959715848793402
manahan,6.959715848793402
marillion,6.959715848793402
mantel,6.959715848793402
manuscript,6.959715848793402
manuscripts,6.959715848793402
manville,6.959715848793402
manzano,6.959715848793402
maphumulo,6.959715848793402
maquette,6.959715848793402
mara,6.959715848793402
marathi,6.959715848793402
marble,6.959715848793402
marcelo,6.959715848793402
marche,6.959715848793402
marconi,6.959715848793402
marcy,6.959715848793402
maren,6.959715848793402
mareno,6.959715848793402
margins,6.959715848793402
mariah,6.959715848793402
marianna,6.959715848793402
mansour,6.959715848793402
manson,6.959715848793402
mansiya,6.959715848793402
manhunter,6.959715848793402
mandarin,6.959715848793402
mandem,6.959715848793402
mandy,6.959715848793402
manek,6.959715848793402
manga,6.959715848793402
mangal,6.959715848793402
mangeskhar,6.959715848793402
manhunt,6.959715848793402
mani,6.959715848793402
manpower,6.959715848793402
manics,6.959715848793402
manicure,6.959715848793402
manifesto,6.959715848793402
manipulative,6.959715848793402
manipur,6.959715848793402
manna,6.959715848793402
manningtree,6.959715848793402
manohla,6.959715848793402
marianne,6.959715848793402
marimba,6.959715848793402
mastermind,6.959715848793402
marines,6.959715848793402
martino,6.959715848793402
martins,6.959715848793402
marty,6.959715848793402
martyn,6.959715848793402
marylebone,6.959715848793402
marziale,6.959715848793402
masaan,6.959715848793402
masaki,6.959715848793402
masala,6.959715848793402
masekela,6.959715848793402
masihzadeh,6.959715848793402
masionette,6.959715848793402
masochists,6.959715848793402
masonry,6.959715848793402
massage,6.959715848793402
massey,6.959715848793402
mastercard,6.959715848793402
masterclass,6.959715848793402
masterfully,6.959715848793402
martinez,6.959715848793402
martial,6.959715848793402
martel,6.959715848793402
marlow,6.959715848793402
marino,6.959715848793402
mario,6.959715848793402
mariopul,6.959715848793402
marise,6.959715848793402
marital,6.959715848793402
markella,6.959715848793402
marker,6.959715848793402
marlenis,6.959715848793402
marlowe,6.959715848793402
marta,6.959715848793402
marmion,6.959715848793402
marmite,6.959715848793402
marneur,6.959715848793402
maro,6.959715848793402
marriot,6.959715848793402
marriott,6.959715848793402
marshal,6.959715848793402
marston,6.959715848793402
lobster,6.959715848793402
llŷr,6.959715848793402
mechanical,6.959715848793402
korn,6.959715848793402
korsakof,6.959715848793402
kosinski,6.959715848793402
kostiantyn,6.959715848793402
koutselinis,6.959715848793402
kovalchuk,6.959715848793402
kovalev,6.959715848793402
kovind,6.959715848793402
koz,6.959715848793402
kozaks,6.959715848793402
kramer,6.959715848793402
krause,6.959715848793402
krept,6.959715848793402
aanewala,6.959715848793402
kristin,6.959715848793402
kroeger,6.959715848793402
kronor,6.959715848793402
kruk,6.959715848793402
kshmr,6.959715848793402
kudos,6.959715848793402
korolova,6.959715848793402
koodalmanikyam,6.959715848793402
llámame,6.959715848793402
konstantin,6.959715848793402
knightley,6.959715848793402
knightly,6.959715848793402
knit,6.959715848793402
knitter,6.959715848793402
